"","cost","Year","Service"
"308",5183.59307521097,1988,"ICU"
"309",5965.16983559335,1989,"ICU"
"310",6654.32308276538,1990,"ICU"
"311",7668.94062670432,1991,"ICU"
"312",8951.29283032903,1992,"ICU"
"313",10320.6195666046,1993,"ICU"
"314",11633.8640298514,1994,"ICU"
"315",12392.0664241011,1995,"ICU"
"316",13677.6493550963,1996,"ICU"
"317",15201.6410744677,1997,"ICU"
"318",14480.5275330414,1998,"ICU"
"319",14226.9215915769,1999,"ICU"
"320",14795.6587800848,2000,"ICU"
"321",14613.8100715743,2001,"ICU"
"322",14350.3113975031,2002,"ICU"
"323",13900,2003,"ICU"
"324",14565.7158711812,2004,"ICU"
"325",15616.1801894537,2005,"ICU"
"326",16622.5142943818,2006,"ICU"
"327",18252.2229810013,2007,"ICU"
"328",18366.1745723963,2008,"ICU"
"329",17843.9758232007,2009,"ICU"
"330",19103.1450771696,2010,"ICU"
"331",20804.0232976877,2011,"ICU"
"332",21909.3182256572,2012,"ICU"
"333",23000,2013,"ICU"
"334",24308.6656457181,2014,"ICU"
"335",25796.0864602292,2015,"ICU"
"336",26771.6174583351,2016,"ICU"
"337",498.88992937018,1961,"HDU"
"338",580.292820728168,1962,"HDU"
"339",696.193114003509,1963,"HDU"
"340",672.204399171858,1964,"HDU"
"341",783.659136264956,1965,"HDU"
"342",703.353979161878,1966,"HDU"
"343",653.497240678569,1967,"HDU"
"344",594.001545457975,1968,"HDU"
"345",587.8592853458,1969,"HDU"
"346",536.143743982451,1970,"HDU"
"347",487.615517874252,1971,"HDU"
"348",580.765439451479,1972,"HDU"
"349",740.99144857524,1973,"HDU"
"350",685.321970691707,1974,"HDU"
"351",716.774886130175,1975,"HDU"
"352",912.757600207107,1976,"HDU"
"353",801.474760502783,1977,"HDU"
"354",936.094574253986,1978,"HDU"
"355",1229.72909839359,1979,"HDU"
"356",1566.35635169092,1980,"HDU"
"357",1479.03900740242,1981,"HDU"
"358",1669.99143962825,1982,"HDU"
"359",1848.81740416852,1983,"HDU"
"360",2228.14260447522,1984,"HDU"
"361",2261.43212346268,1985,"HDU"
"362",2604.56938295644,1986,"HDU"
"363",3207.19322313607,1987,"HDU"
"364",3657.19690655463,1988,"HDU"
"365",4202.65720763668,1989,"HDU"
"366",4693.38118371527,1990,"HDU"
"367",5412.27227669516,1991,"HDU"
"368",6312.91050295546,1992,"HDU"
"369",7271.34080913354,1993,"HDU"
"370",8194.04967430998,1994,"HDU"
"371",8732.98795881422,1995,"HDU"
"372",9639.00408099847,1996,"HDU"
"373",10713.0824929604,1997,"HDU"
"374",10202.9676907792,1998,"HDU"
"375",10029.5186145129,1999,"HDU"
"376",10431.5245558227,2000,"HDU"
"377",10303.7844180546,2001,"HDU"
"378",10118.1096176862,2002,"HDU"
"379",9800,2003,"HDU"
"380",10269.8556672018,2004,"HDU"
"381",11010.8093225135,2005,"HDU"
"382",11721.668606108,2006,"HDU"
"383",12869.3032206652,2007,"HDU"
"384",10851.877227488,2008,"HDU"
"385",9318.18019933602,2009,"HDU"
"386",9973.43880282026,2010,"HDU"
"387",10859.1201427397,2011,"HDU"
"388",11432.3111182844,2012,"HDU"
"389",12000,2013,"HDU"
"390",12682.9719684126,2014,"HDU"
"391",13459.9585260235,2015,"HDU"
"392",13969.5083362625,2016,"HDU"
"393",167.469060139022,1961,"Private"
"394",198.50068439679,1962,"Private"
"395",237.619179746405,1963,"Private"
"396",270.738910105085,1964,"Private"
"397",317.073316760137,1965,"Private"
"398",282.563732141016,1966,"Private"
"399",256.279723495011,1967,"Private"
"400",232.391211549739,1968,"Private"
"401",214.449110458546,1969,"Private"
"402",194.948816187835,1970,"Private"
"403",215.608800068717,1971,"Private"
"404",258.279326000891,1972,"Private"
"405",330.733545770564,1973,"Private"
"406",301.680630972807,1974,"Private"
"407",289.257646755579,1975,"Private"
"408",368.394806559136,1976,"Private"
"409",333.839459643454,1977,"Private"
"410",390.719439142992,1978,"Private"
"411",512.614722759163,1979,"Private"
"412",652.809506480274,1980,"Private"
"413",633.689025453858,1981,"Private"
"414",714.911987399932,1982,"Private"
"415",792.46251323467,1983,"Private"
"416",955.416388558123,1984,"Private"
"417",903.870047966149,1985,"Private"
"418",1041.62918158989,1986,"Private"
"419",1282.88002907722,1987,"Private"
"420",1451.53064072874,1988,"Private"
"421",1670.81929927254,1989,"Private"
"422",1865.98848081903,1990,"Private"
"423",2152.12299063809,1991,"Private"
"424",2510.88269637727,1992,"Private"
"425",2895.76565962208,1993,"Private"
"426",3264.44910654318,1994,"Private"
"427",3479.63412112452,1995,"Private"
"428",3837.44669464968,1996,"Private"
"429",4265.46346630054,1997,"Private"
"430",4062.70191620291,1998,"Private"
"431",3992.85449398072,1999,"Private"
"432",4152.49848848784,2000,"Private"
"433",4100.94897394483,2001,"Private"
"434",4027.05430106093,2002,"Private"
"435",3900,2003,"Private"
"436",4087.13468818327,2004,"Private"
"437",4383.09186074473,2005,"Private"
"438",4666.245752023,2006,"Private"
"439",5123.08725204253,2007,"Private"
"440",4693.75885568947,2008,"Private"
"441",4378.02161221251,2009,"Private"
"442",4686.0494119132,2010,"Private"
"443",5103.03241700922,2011,"Private"
"444",5373.10069619246,2012,"Private"
"445",5640,2013,"Private"
"446",5960.92756492793,2014,"Private"
"447",6325.65419288128,2015,"Private"
"448",6564.83321548173,2016,"Private"
